2020-01-07 00:24:29 INFO  Logger:37 - Clicked on: [[ChromeDriver: chrome on XP (7aa095a79c00be5f0016eed3b659a6c1)] -> xpath: //a[attribute::href='https://ui.cogmento.com']]
2020-01-07 00:24:29 INFO  Logger:74 - Trying to find Element By : By.name: email
2020-01-07 00:24:29 INFO  Logger:80 - Found Element By : By.name: email
2020-01-07 00:24:29 INFO  Logger:74 - Trying to find Element By : By.name: password
2020-01-07 00:24:29 INFO  Logger:80 - Found Element By : By.name: password
2020-01-07 00:24:29 INFO  Logger:74 - Trying to find Element By : By.xpath: //div[@class='ui fluid large blue submit button']
2020-01-07 00:24:29 INFO  Logger:80 - Found Element By : By.xpath: //div[@class='ui fluid large blue submit button']
2020-01-07 00:24:29 INFO  Logger:33 - Trying to click on: [[ChromeDriver: chrome on XP (7aa095a79c00be5f0016eed3b659a6c1)] -> xpath: //div[@class='ui fluid large blue submit button']]
2020-01-07 00:24:29 INFO  Logger:37 - Clicked on: [[ChromeDriver: chrome on XP (7aa095a79c00be5f0016eed3b659a6c1)] -> xpath: //div[@class='ui fluid large blue submit button']]
2020-01-07 00:24:29 INFO  Logger:74 - Trying to find Element By : By.xpath: //div/a[attribute::href='/contacts']
2020-01-07 00:24:30 INFO  Logger:80 - Found Element By : By.xpath: //div/a[attribute::href='/contacts']
2020-01-07 00:24:30 INFO  Logger:33 - Trying to click on: [[ChromeDriver: chrome on XP (7aa095a79c00be5f0016eed3b659a6c1)] -> xpath: //div/a[attribute::href='/contacts']]
2020-01-07 00:24:30 INFO  Logger:37 - Clicked on: [[ChromeDriver: chrome on XP (7aa095a79c00be5f0016eed3b659a6c1)] -> xpath: //div/a[attribute::href='/contacts']]
2020-01-07 00:24:30 INFO  Logger:74 - Trying to find Element By : By.xpath: //a[@href='/contacts/new']
2020-01-07 00:24:30 INFO  Logger:80 - Found Element By : By.xpath: //a[@href='/contacts/new']
2020-01-07 00:24:30 INFO  Logger:33 - Trying to click on: [[ChromeDriver: chrome on XP (7aa095a79c00be5f0016eed3b659a6c1)] -> xpath: //a[@href='/contacts/new']]
2020-01-07 00:24:30 INFO  Logger:37 - Clicked on: [[ChromeDriver: chrome on XP (7aa095a79c00be5f0016eed3b659a6c1)] -> xpath: //a[@href='/contacts/new']]
2020-01-07 00:24:30 INFO  Logger:74 - Trying to find Element By : By.xpath: //input[@name='first_name']
2020-01-07 00:24:31 INFO  Logger:80 - Found Element By : By.xpath: //input[@name='first_name']
2020-01-07 00:24:31 INFO  Logger:74 - Trying to find Element By : By.xpath: //input[@name='last_name']
2020-01-07 00:24:31 INFO  Logger:80 - Found Element By : By.xpath: //input[@name='last_name']
2020-01-07 00:24:32 INFO  Logger:74 - Trying to find Element By : By.xpath: //button[contains(text(),'Save')]
2020-01-07 00:24:32 INFO  Logger:80 - Found Element By : By.xpath: //button[contains(text(),'Save')]
2020-01-07 00:24:32 INFO  Logger:33 - Trying to click on: [[ChromeDriver: chrome on XP (7aa095a79c00be5f0016eed3b659a6c1)] -> xpath: //button[contains(text(),'Save')]]
2020-01-07 00:24:32 INFO  Logger:37 - Clicked on: [[ChromeDriver: chrome on XP (7aa095a79c00be5f0016eed3b659a6c1)] -> xpath: //button[contains(text(),'Save')]]
2020-01-07 00:24:36 INFO  Logger:17 - Before navigating to: 'https://www.freecrm.com/'
2020-01-07 00:24:38 INFO  Logger:21 - Navigated to:'https://www.freecrm.com/'
2020-01-07 00:24:38 INFO  Logger:74 - Trying to find Element By : By.xpath: //a[attribute::href='https://ui.cogmento.com']
2020-01-07 00:24:38 INFO  Logger:80 - Found Element By : By.xpath: //a[attribute::href='https://ui.cogmento.com']
2020-01-07 00:24:38 INFO  Logger:33 - Trying to click on: [[ChromeDriver: chrome on XP (e9fd1f544085cb8f15e21f61a38010d5)] -> xpath: //a[attribute::href='https://ui.cogmento.com']]
2020-01-07 00:24:40 INFO  Logger:37 - Clicked on: [[ChromeDriver: chrome on XP (e9fd1f544085cb8f15e21f61a38010d5)] -> xpath: //a[attribute::href='https://ui.cogmento.com']]
2020-01-07 00:24:44 INFO  Logger:17 - Before navigating to: 'https://www.freecrm.com/'
2020-01-07 00:24:46 INFO  Logger:21 - Navigated to:'https://www.freecrm.com/'
2020-01-07 00:24:46 INFO  Logger:74 - Trying to find Element By : By.xpath: //a[attribute::href='https://ui.cogmento.com']
2020-01-07 00:24:46 INFO  Logger:80 - Found Element By : By.xpath: //a[attribute::href='https://ui.cogmento.com']
2020-01-07 00:24:46 INFO  Logger:33 - Trying to click on: [[ChromeDriver: chrome on XP (fe15a0837ecfecf3c5f4f1142f4797ac)] -> xpath: //a[attribute::href='https://ui.cogmento.com']]
2020-01-07 00:24:48 INFO  Logger:37 - Clicked on: [[ChromeDriver: chrome on XP (fe15a0837ecfecf3c5f4f1142f4797ac)] -> xpath: //a[attribute::href='https://ui.cogmento.com']]
2020-01-07 00:24:48 INFO  Logger:74 - Trying to find Element By : By.name: email
2020-01-07 00:24:48 INFO  Logger:80 - Found Element By : By.name: email
2020-01-07 00:24:48 INFO  Logger:74 - Trying to find Element By : By.name: password
2020-01-07 00:24:48 INFO  Logger:80 - Found Element By : By.name: password
2020-01-07 00:24:49 INFO  Logger:74 - Trying to find Element By : By.xpath: //div[@class='ui fluid large blue submit button']
2020-01-07 00:24:49 INFO  Logger:80 - Found Element By : By.xpath: //div[@class='ui fluid large blue submit button']
2020-01-07 00:24:49 INFO  Logger:33 - Trying to click on: [[ChromeDriver: chrome on XP (fe15a0837ecfecf3c5f4f1142f4797ac)] -> xpath: //div[@class='ui fluid large blue submit button']]
2020-01-07 00:24:49 INFO  Logger:37 - Clicked on: [[ChromeDriver: chrome on XP (fe15a0837ecfecf3c5f4f1142f4797ac)] -> xpath: //div[@class='ui fluid large blue submit button']]
2020-01-07 00:38:59 INFO  Logger:17 - Before navigating to: 'https://www.freecrm.com/'
2020-01-07 00:39:03 INFO  Logger:21 - Navigated to:'https://www.freecrm.com/'
2020-01-07 00:39:03 INFO  Logger:74 - Trying to find Element By : By.xpath: //a[attribute::href='https://ui.cogmento.com']
2020-01-07 00:39:03 INFO  Logger:80 - Found Element By : By.xpath: //a[attribute::href='https://ui.cogmento.com']
2020-01-07 00:39:03 INFO  Logger:33 - Trying to click on: [[ChromeDriver: chrome on XP (35d319a58ab902364667414a8869a94e)] -> xpath: //a[attribute::href='https://ui.cogmento.com']]
2020-01-07 00:39:06 INFO  Logger:37 - Clicked on: [[ChromeDriver: chrome on XP (35d319a58ab902364667414a8869a94e)] -> xpath: //a[attribute::href='https://ui.cogmento.com']]
2020-01-07 00:39:06 INFO  Logger:74 - Trying to find Element By : By.name: email
2020-01-07 00:39:06 INFO  Logger:80 - Found Element By : By.name: email
2020-01-07 00:39:06 INFO  Logger:74 - Trying to find Element By : By.name: password
2020-01-07 00:39:06 INFO  Logger:80 - Found Element By : By.name: password
2020-01-07 00:39:06 INFO  Logger:74 - Trying to find Element By : By.xpath: //div[@class='ui fluid large blue submit button']
2020-01-07 00:39:06 INFO  Logger:80 - Found Element By : By.xpath: //div[@class='ui fluid large blue submit button']
2020-01-07 00:39:06 INFO  Logger:33 - Trying to click on: [[ChromeDriver: chrome on XP (35d319a58ab902364667414a8869a94e)] -> xpath: //div[@class='ui fluid large blue submit button']]
2020-01-07 00:39:06 INFO  Logger:37 - Clicked on: [[ChromeDriver: chrome on XP (35d319a58ab902364667414a8869a94e)] -> xpath: //div[@class='ui fluid large blue submit button']]
2020-01-07 00:39:06 INFO  Logger:74 - Trying to find Element By : By.xpath: //div/a[attribute::href='/contacts']
2020-01-07 00:39:07 INFO  Logger:80 - Found Element By : By.xpath: //div/a[attribute::href='/contacts']
2020-01-07 00:39:07 INFO  Logger:33 - Trying to click on: [[ChromeDriver: chrome on XP (35d319a58ab902364667414a8869a94e)] -> xpath: //div/a[attribute::href='/contacts']]
2020-01-07 00:39:07 INFO  Logger:37 - Clicked on: [[ChromeDriver: chrome on XP (35d319a58ab902364667414a8869a94e)] -> xpath: //div/a[attribute::href='/contacts']]
2020-01-07 00:39:07 INFO  Logger:74 - Trying to find Element By : By.xpath: //div[attribute::class='ui header item mb5 light-black']
2020-01-07 00:39:07 INFO  Logger:80 - Found Element By : By.xpath: //div[attribute::class='ui header item mb5 light-black']
2020-01-07 00:39:11 INFO  Logger:17 - Before navigating to: 'https://www.freecrm.com/'
2020-01-07 00:39:13 INFO  Logger:21 - Navigated to:'https://www.freecrm.com/'
2020-01-07 00:39:17 INFO  Logger:17 - Before navigating to: 'https://www.freecrm.com/'
2020-01-07 00:39:19 INFO  Logger:21 - Navigated to:'https://www.freecrm.com/'
2020-01-07 00:39:19 INFO  Logger:74 - Trying to find Element By : By.xpath: //a[attribute::href='https://ui.cogmento.com']
